,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
157,Existing Customer,49.0,M,1.0,Doctorate,Married,$120K +,Blue,38.0,6.0,1.0,3.0,9364.0,618.0,0.5539999999999999,1099.0,27.0,0.8,0.066
159,Existing Customer,43.0,F,4.0,Graduate,Divorced,Less than $40K,Blue,34.0,2.0,3.0,1.0,3195.0,1954.0,0.971,1285.0,29.0,0.706,0.612
160,Existing Customer,56.0,M,0.0,High School,Married,$80K - $120K,Blue,43.0,5.0,2.0,1.0,2852.0,1024.0,1.0090000000000001,1651.0,28.0,1.0,0.359
161,Existing Customer,59.0,F,1.0,College,Single,Unknown,Blue,36.0,2.0,3.0,3.0,4224.0,1305.0,0.852,1152.0,31.0,0.8240000000000001,0.309
165,Existing Customer,51.0,F,3.0,Uneducated,Married,Less than $40K,Blue,43.0,3.0,1.0,2.0,2185.0,1761.0,0.682,1645.0,30.0,0.429,0.8059999999999999
169,Existing Customer,53.0,M,3.0,High School,Married,$60K - $80K,Blue,47.0,5.0,2.0,2.0,1438.3,0.0,0.7759999999999999,2184.0,53.0,0.828,0.0
171,Existing Customer,52.0,F,1.0,High School,Married,Less than $40K,Blue,45.0,6.0,3.0,3.0,6703.0,893.0,0.5670000000000001,1388.0,28.0,0.75,0.133
172,Attrited Customer,53.0,M,2.0,Unknown,Married,$80K - $120K,Blue,36.0,2.0,2.0,1.0,3212.0,0.0,0.713,757.0,20.0,0.25,0.0
174,Existing Customer,41.0,F,3.0,High School,Married,$40K - $60K,Blue,36.0,4.0,1.0,2.0,9797.0,1434.0,0.644,1503.0,34.0,0.478,0.146
175,Existing Customer,45.0,F,5.0,Graduate,Divorced,$40K - $60K,Blue,36.0,5.0,2.0,2.0,10400.0,1777.0,0.7909999999999999,1105.0,28.0,0.867,0.171
179,Existing Customer,59.0,F,1.0,Uneducated,Married,$40K - $60K,Blue,36.0,4.0,2.0,3.0,3356.0,985.0,0.35,999.0,28.0,0.556,0.294
181,Existing Customer,51.0,M,3.0,Graduate,Married,$80K - $120K,Blue,36.0,6.0,2.0,3.0,11106.0,2107.0,0.948,1243.0,24.0,1.0,0.19
184,Existing Customer,47.0,M,3.0,Graduate,Married,$60K - $80K,Blue,36.0,2.0,1.0,2.0,21331.0,1251.0,0.9490000000000001,1460.0,50.0,1.083,0.059000000000000004
185,Existing Customer,49.0,F,3.0,Uneducated,Single,Unknown,Blue,38.0,6.0,2.0,1.0,12860.0,0.0,0.6459999999999999,1348.0,27.0,0.28600000000000003,0.0
188,Existing Customer,50.0,F,2.0,High School,Married,Less than $40K,Blue,36.0,5.0,1.0,2.0,9355.0,1626.0,0.701,1230.0,28.0,0.867,0.174
189,Existing Customer,41.0,F,2.0,Post-Graduate,Married,Unknown,Blue,31.0,6.0,1.0,3.0,20758.0,0.0,0.688,1555.0,32.0,0.684,0.0
192,Existing Customer,57.0,F,3.0,Graduate,Married,Less than $40K,Blue,47.0,4.0,2.0,3.0,6347.0,1594.0,0.8959999999999999,1771.0,37.0,0.762,0.251
194,Existing Customer,51.0,F,5.0,Post-Graduate,Married,Less than $40K,Blue,44.0,5.0,1.0,1.0,3449.0,1598.0,0.971,1679.0,42.0,0.556,0.46299999999999997
195,Existing Customer,47.0,F,3.0,High School,Married,Less than $40K,Blue,34.0,2.0,1.0,2.0,6028.0,799.0,0.8190000000000001,1002.0,22.0,0.5710000000000001,0.133
196,Existing Customer,41.0,M,0.0,High School,Unknown,$120K +,Blue,36.0,3.0,2.0,3.0,18214.0,1998.0,0.8290000000000001,1344.0,21.0,1.1,0.11
198,Attrited Customer,68.0,M,0.0,High School,Married,Less than $40K,Blue,52.0,1.0,3.0,2.0,1438.3,900.0,0.743,760.0,21.0,0.615,0.626
205,Existing Customer,43.0,F,1.0,High School,Divorced,Less than $40K,Silver,35.0,3.0,2.0,2.0,10514.0,1580.0,0.504,1229.0,27.0,0.8,0.15
206,Attrited Customer,55.0,F,2.0,Graduate,Married,Less than $40K,Blue,43.0,2.0,4.0,3.0,1438.3,0.0,0.7070000000000001,886.0,27.0,0.42100000000000004,0.0
207,Attrited Customer,59.0,M,2.0,Post-Graduate,Married,$60K - $80K,Blue,46.0,3.0,3.0,3.0,1438.3,0.0,0.688,844.0,24.0,0.5,0.0
210,Existing Customer,53.0,F,2.0,High School,Married,Less than $40K,Blue,36.0,4.0,1.0,2.0,2377.0,1649.0,0.93,1378.0,26.0,1.167,0.6940000000000001
212,Existing Customer,52.0,M,3.0,Graduate,Married,$120K +,Blue,47.0,5.0,3.0,3.0,11086.0,2207.0,0.8690000000000001,1523.0,40.0,1.105,0.19899999999999998
213,Existing Customer,48.0,M,3.0,High School,Single,$60K - $80K,Blue,36.0,4.0,2.0,2.0,11432.0,2517.0,0.615,1374.0,37.0,0.762,0.22
215,Existing Customer,48.0,M,2.0,College,Single,Less than $40K,Blue,36.0,3.0,2.0,3.0,2571.0,1955.0,0.531,1234.0,24.0,0.7140000000000001,0.76
217,Existing Customer,44.0,M,4.0,Unknown,Married,$60K - $80K,Blue,30.0,5.0,1.0,2.0,7872.0,2509.0,0.971,1155.0,32.0,0.882,0.319
223,Existing Customer,48.0,F,3.0,Graduate,Divorced,$40K - $60K,Blue,39.0,6.0,2.0,3.0,2115.0,1141.0,0.616,1223.0,20.0,0.5379999999999999,0.539
224,Existing Customer,44.0,F,2.0,Graduate,Divorced,Less than $40K,Blue,27.0,5.0,2.0,2.0,1438.3,679.0,0.8590000000000001,1117.0,29.0,1.071,0.47200000000000003
226,Existing Customer,45.0,M,3.0,College,Single,$60K - $80K,Blue,32.0,4.0,1.0,2.0,1438.3,0.0,0.81,1468.0,26.0,0.625,0.0
227,Existing Customer,47.0,F,2.0,Uneducated,Divorced,Less than $40K,Silver,34.0,6.0,4.0,2.0,13878.0,2222.0,0.853,1658.0,38.0,0.35700000000000004,0.16
228,Existing Customer,51.0,F,2.0,Graduate,Married,Less than $40K,Blue,36.0,3.0,1.0,3.0,3106.0,1304.0,0.604,1368.0,38.0,0.40700000000000003,0.42
230,Attrited Customer,60.0,F,1.0,Uneducated,Married,$40K - $60K,Blue,50.0,4.0,4.0,3.0,1438.3,1025.0,0.838,702.0,12.0,0.7140000000000001,0.713
232,Existing Customer,41.0,M,5.0,Graduate,Single,$120K +,Blue,29.0,5.0,2.0,2.0,5207.0,1748.0,1.073,1310.0,26.0,1.0,0.336
233,Existing Customer,44.0,M,3.0,Post-Graduate,Divorced,$80K - $120K,Blue,36.0,6.0,2.0,2.0,17965.0,1644.0,0.9209999999999999,1767.0,50.0,0.9229999999999999,0.092
234,Existing Customer,43.0,M,1.0,College,Single,$60K - $80K,Blue,37.0,6.0,3.0,3.0,2733.0,1819.0,0.767,933.0,25.0,0.9229999999999999,0.6659999999999999
236,Attrited Customer,52.0,M,1.0,Uneducated,Married,$80K - $120K,Blue,36.0,2.0,3.0,3.0,1857.0,1833.0,0.723,829.0,17.0,0.7,0.987
238,Existing Customer,41.0,M,2.0,Uneducated,Married,$40K - $60K,Blue,30.0,5.0,3.0,3.0,11107.0,1222.0,0.5379999999999999,1506.0,33.0,0.941,0.11
240,Attrited Customer,53.0,F,2.0,Unknown,Married,Less than $40K,Blue,33.0,2.0,3.0,3.0,2859.0,2517.0,0.993,817.0,30.0,0.667,0.88
241,Existing Customer,39.0,M,2.0,High School,Single,$80K - $120K,Blue,36.0,4.0,2.0,2.0,5269.0,1475.0,1.148,2094.0,25.0,0.667,0.28
242,Attrited Customer,49.0,M,5.0,College,Married,$40K - $60K,Blue,45.0,2.0,2.0,3.0,1438.3,0.0,0.7340000000000001,815.0,21.0,0.615,0.0
243,Attrited Customer,45.0,F,2.0,College,Married,Less than $40K,Blue,36.0,1.0,3.0,2.0,3387.0,0.0,0.789,510.0,24.0,0.6,0.0
244,Existing Customer,54.0,M,2.0,Graduate,Married,$80K - $120K,Blue,46.0,6.0,2.0,3.0,1982.0,1289.0,0.9390000000000001,1377.0,49.0,0.69,0.65
245,Existing Customer,49.0,M,3.0,Uneducated,Single,$80K - $120K,Blue,43.0,2.0,2.0,2.0,4645.0,1650.0,0.912,1193.0,33.0,0.65,0.355
246,Existing Customer,46.0,F,3.0,Doctorate,Single,Unknown,Blue,36.0,6.0,3.0,2.0,2189.0,1666.0,0.34299999999999997,1287.0,36.0,0.636,0.7609999999999999
247,Attrited Customer,46.0,M,4.0,High School,Married,$120K +,Blue,30.0,3.0,3.0,3.0,2442.0,0.0,0.98,701.0,19.0,0.727,0.0
248,Existing Customer,47.0,M,3.0,Graduate,Married,$60K - $80K,Blue,38.0,4.0,1.0,2.0,21304.0,1532.0,1.018,1770.0,25.0,0.9229999999999999,0.07200000000000001
250,Existing Customer,50.0,M,3.0,Post-Graduate,Single,$120K +,Blue,31.0,4.0,1.0,2.0,3234.0,1486.0,0.868,1354.0,28.0,0.647,0.45899999999999996
252,Existing Customer,56.0,M,3.0,Unknown,Unknown,$40K - $60K,Blue,46.0,6.0,3.0,4.0,2910.0,709.0,0.5379999999999999,1192.0,27.0,0.588,0.244
253,Attrited Customer,59.0,M,0.0,High School,Single,$40K - $60K,Blue,48.0,2.0,4.0,3.0,3616.0,1054.0,0.616,687.0,17.0,0.545,0.29100000000000004
257,Existing Customer,45.0,M,1.0,Uneducated,Single,$120K +,Blue,39.0,4.0,2.0,2.0,3133.0,1510.0,0.609,1435.0,38.0,0.462,0.48200000000000004
259,Existing Customer,40.0,M,1.0,Graduate,Married,$40K - $60K,Blue,23.0,6.0,3.0,2.0,6990.0,1378.0,0.73,1479.0,29.0,0.611,0.19699999999999998
261,Attrited Customer,59.0,F,0.0,Post-Graduate,Married,$40K - $60K,Blue,40.0,1.0,4.0,1.0,1438.3,0.0,1.038,689.0,23.0,0.353,0.0
265,Existing Customer,51.0,F,2.0,Graduate,Married,Less than $40K,Blue,46.0,5.0,2.0,2.0,5207.0,1650.0,0.708,1339.0,20.0,0.5379999999999999,0.317
268,Attrited Customer,64.0,F,0.0,High School,Married,$40K - $60K,Blue,53.0,1.0,3.0,3.0,3353.0,0.0,1.021,960.0,18.0,0.385,0.0
270,Existing Customer,48.0,M,3.0,Unknown,Single,$40K - $60K,Blue,43.0,6.0,1.0,3.0,5279.0,1115.0,0.5489999999999999,1642.0,41.0,0.519,0.21100000000000002
272,Existing Customer,57.0,M,0.0,Uneducated,Married,$40K - $60K,Blue,45.0,6.0,2.0,2.0,2601.0,0.0,0.8140000000000001,1232.0,32.0,0.684,0.0
274,Existing Customer,41.0,M,3.0,High School,Single,$80K - $120K,Blue,36.0,4.0,3.0,3.0,8029.0,1576.0,0.826,1094.0,32.0,0.524,0.196
275,Existing Customer,42.0,F,4.0,Uneducated,Married,Less than $40K,Blue,31.0,2.0,2.0,2.0,2410.0,1769.0,0.759,1217.0,30.0,1.143,0.7340000000000001
276,Attrited Customer,45.0,M,2.0,Graduate,Single,$60K - $80K,Blue,36.0,1.0,1.0,2.0,3401.0,0.0,0.898,744.0,18.0,1.0,0.0
279,Existing Customer,48.0,F,4.0,High School,Married,$40K - $60K,Blue,42.0,3.0,1.0,3.0,4206.0,1100.0,0.5870000000000001,1144.0,22.0,1.0,0.262
283,Attrited Customer,54.0,F,2.0,High School,Married,Unknown,Blue,44.0,3.0,3.0,1.0,6094.0,0.0,1.129,909.0,14.0,0.273,0.0
287,Existing Customer,45.0,F,4.0,Graduate,Single,Less than $40K,Blue,36.0,6.0,3.0,2.0,3342.0,2517.0,0.7709999999999999,1139.0,30.0,0.765,0.753
288,Attrited Customer,54.0,F,4.0,Graduate,Married,Unknown,Blue,40.0,6.0,2.0,2.0,2532.0,2221.0,0.491,799.0,21.0,0.235,0.877
289,Existing Customer,54.0,F,3.0,Doctorate,Married,Unknown,Blue,46.0,2.0,2.0,3.0,1900.0,1376.0,0.89,1881.0,45.0,0.607,0.7240000000000001
290,Existing Customer,44.0,M,3.0,Graduate,Single,$60K - $80K,Blue,37.0,2.0,3.0,2.0,14546.0,1703.0,0.955,1273.0,27.0,0.588,0.11699999999999999
291,Existing Customer,50.0,F,4.0,Doctorate,Single,Unknown,Blue,36.0,2.0,3.0,2.0,2521.0,1608.0,0.5870000000000001,1328.0,33.0,0.5710000000000001,0.638
292,Existing Customer,55.0,M,2.0,Doctorate,Married,$60K - $80K,Blue,36.0,3.0,4.0,3.0,16427.0,1682.0,0.631,1579.0,36.0,1.1179999999999999,0.102
293,Existing Customer,48.0,M,2.0,Graduate,Unknown,$40K - $60K,Blue,36.0,5.0,1.0,2.0,13068.0,1718.0,0.607,937.0,28.0,0.556,0.131
296,Existing Customer,55.0,M,2.0,High School,Married,$40K - $60K,Blue,47.0,5.0,3.0,2.0,3096.0,2217.0,0.799,2011.0,41.0,0.7829999999999999,0.716
297,Existing Customer,62.0,F,0.0,High School,Married,$40K - $60K,Blue,52.0,5.0,2.0,3.0,2052.0,1250.0,0.728,1208.0,31.0,0.632,0.609
299,Existing Customer,46.0,M,3.0,High School,Single,$40K - $60K,Blue,39.0,2.0,3.0,2.0,9432.0,1418.0,0.612,1319.0,26.0,0.368,0.15
304,Existing Customer,35.0,M,3.0,Uneducated,Married,$60K - $80K,Blue,22.0,5.0,2.0,2.0,6985.0,1130.0,0.963,1694.0,44.0,0.76,0.162
306,Existing Customer,36.0,F,3.0,High School,Married,Unknown,Blue,24.0,4.0,1.0,1.0,15439.0,0.0,0.742,2069.0,43.0,0.536,0.0
307,Existing Customer,47.0,M,4.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,3.0,2.0,21637.0,2030.0,0.7759999999999999,1222.0,23.0,0.43799999999999994,0.094
308,Existing Customer,52.0,M,2.0,Graduate,Single,$120K +,Blue,37.0,2.0,3.0,2.0,14543.0,0.0,0.7879999999999999,1536.0,37.0,0.423,0.0
310,Existing Customer,63.0,M,2.0,High School,Married,$40K - $60K,Blue,36.0,2.0,2.0,2.0,5007.0,930.0,0.885,1050.0,28.0,1.1540000000000001,0.18600000000000003
312,Existing Customer,53.0,M,2.0,Uneducated,Single,$60K - $80K,Blue,40.0,5.0,2.0,2.0,19116.0,0.0,0.6559999999999999,1184.0,29.0,0.611,0.0
314,Attrited Customer,57.0,M,3.0,Graduate,Married,$120K +,Blue,38.0,2.0,3.0,3.0,8249.0,1381.0,0.7979999999999999,678.0,11.0,0.833,0.16699999999999998
316,Existing Customer,53.0,M,3.0,High School,Married,$60K - $80K,Blue,43.0,5.0,3.0,2.0,5264.0,2169.0,0.374,1219.0,27.0,0.5,0.41200000000000003
325,Existing Customer,34.0,M,3.0,High School,Married,$60K - $80K,Blue,26.0,4.0,3.0,3.0,3265.0,2517.0,0.9520000000000001,1843.0,35.0,0.9440000000000001,0.7709999999999999
326,Existing Customer,56.0,M,1.0,Uneducated,Married,$120K +,Blue,36.0,3.0,2.0,2.0,6041.0,1355.0,0.685,1747.0,49.0,0.581,0.22399999999999998
328,Existing Customer,47.0,M,3.0,Post-Graduate,Unknown,$80K - $120K,Blue,36.0,6.0,2.0,2.0,13399.0,2505.0,0.627,1326.0,31.0,0.8240000000000001,0.187
329,Existing Customer,46.0,F,3.0,Unknown,Married,Less than $40K,Blue,38.0,4.0,3.0,3.0,4317.0,2517.0,0.9440000000000001,1619.0,36.0,1.0,0.583
331,Existing Customer,50.0,F,1.0,Graduate,Single,Less than $40K,Blue,36.0,4.0,1.0,3.0,5012.0,2242.0,0.816,1142.0,28.0,1.0,0.447
333,Existing Customer,53.0,F,1.0,Graduate,Single,Less than $40K,Blue,45.0,3.0,1.0,2.0,3471.0,1785.0,1.051,1052.0,24.0,0.7140000000000001,0.514
335,Existing Customer,53.0,M,1.0,High School,Married,$120K +,Blue,36.0,6.0,3.0,2.0,3312.0,1844.0,0.986,1740.0,32.0,0.882,0.557
337,Attrited Customer,54.0,M,2.0,Unknown,Married,$40K - $60K,Blue,44.0,4.0,3.0,2.0,2902.0,2517.0,0.821,996.0,26.0,0.444,0.867
339,Existing Customer,62.0,M,1.0,High School,Married,Less than $40K,Blue,53.0,5.0,3.0,3.0,2077.0,1571.0,1.031,1365.0,38.0,1.0,0.7559999999999999
340,Existing Customer,46.0,F,4.0,Graduate,Single,Less than $40K,Blue,40.0,5.0,1.0,2.0,6265.0,1942.0,1.0270000000000001,1715.0,43.0,0.87,0.31
342,Existing Customer,52.0,M,3.0,Graduate,Single,$80K - $120K,Blue,42.0,6.0,3.0,3.0,2731.0,1692.0,0.62,1220.0,22.0,0.6920000000000001,0.62
347,Existing Customer,52.0,M,2.0,High School,Single,$60K - $80K,Blue,45.0,5.0,3.0,2.0,7567.0,1173.0,0.541,1435.0,32.0,0.6,0.155
348,Existing Customer,41.0,M,5.0,High School,Married,$60K - $80K,Blue,33.0,5.0,3.0,3.0,22770.0,2517.0,0.9940000000000001,1882.0,38.0,0.652,0.111
351,Existing Customer,40.0,F,3.0,High School,Divorced,Less than $40K,Blue,35.0,3.0,1.0,3.0,2555.0,2117.0,1.0490000000000002,1334.0,32.0,0.6,0.8290000000000001
352,Existing Customer,43.0,M,3.0,Graduate,Married,$80K - $120K,Blue,26.0,5.0,3.0,2.0,2355.0,1090.0,0.7509999999999999,1441.0,29.0,0.812,0.46299999999999997
354,Existing Customer,55.0,M,1.0,Uneducated,Single,$40K - $60K,Blue,49.0,6.0,3.0,2.0,1443.0,1375.0,0.6829999999999999,1991.0,38.0,0.583,0.953
